                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76892,                 2.1285,                0.92791,                0.90651,                0.66769,                0.85553,                0.66114,                0.74935,                 2.4382,                0.90578,             0.00041193,             0.00041193,             0.00041193
                      1,                0.74416,                  1.214,                0.93802,                 0.8171,                0.66186,                0.74824,                0.57582,                0.71554,                 1.2025,                0.91123,              0.0008204,              0.0008204,              0.0008204
                      2,                0.73493,                 1.0504,                0.93921,                0.84187,                0.75221,                0.81117,                0.64507,                0.70789,                0.96482,                0.90985,              0.0012206,              0.0012206,              0.0012206
                      3,                  0.742,                0.92827,                 0.9409,                 0.8971,                0.89499,                0.91258,                0.70785,                0.72912,                0.75415,                0.91647,              0.0012129,              0.0012129,              0.0012129
                      4,                0.71583,                0.79241,                 0.9309,                0.90347,                0.85125,                0.89433,                0.71276,                0.68421,                0.68042,                0.90424,              0.0012129,              0.0012129,              0.0012129
                      5,                0.71333,                0.72912,                0.92828,                0.87775,                0.73725,                0.82382,                 0.6744,                0.67322,                0.73871,                0.90159,              0.0012005,              0.0012005,              0.0012005
                      6,                0.69973,                0.68194,                0.93111,                0.93274,                0.84937,                0.89112,                0.72416,                0.66091,                0.54963,                0.89231,              0.0011881,              0.0011881,              0.0011881
                      7,                0.68493,                  0.605,                0.91853,                0.86318,                0.84055,                0.85645,                0.70853,                0.65412,                0.57917,                0.89184,              0.0011757,              0.0011757,              0.0011757
                      8,                 0.6645,                0.58941,                0.91288,                0.94077,                0.84462,                0.90631,                0.72541,                0.68357,                0.50861,                0.89864,              0.0011634,              0.0011634,              0.0011634
                      9,                0.65069,                0.54848,                0.91358,                0.92195,                0.83819,                0.89077,                0.74235,                0.61578,                0.48419,                0.87982,               0.001151,               0.001151,               0.001151
                     10,                0.65741,                0.54452,                 0.9124,                0.92114,                0.84521,                0.89112,                 0.7359,                0.63697,                0.48837,                0.88503,              0.0011386,              0.0011386,              0.0011386
                     11,                0.63379,                0.52054,                 0.9023,                0.86843,                0.87792,                0.87889,                0.74013,                0.63776,                0.49559,                 0.8857,              0.0011263,              0.0011263,              0.0011263
                     12,                0.63301,                0.50416,                0.90426,                0.89882,                0.86907,                 0.8983,                0.73837,                0.63249,                 0.4776,                0.88103,              0.0011139,              0.0011139,              0.0011139
                     13,                0.62737,                0.49353,                0.90114,                0.91801,                0.87774,                0.90264,                0.74164,                0.63514,                0.49318,                0.87971,              0.0011015,              0.0011015,              0.0011015
                     14,                0.63722,                0.49448,                0.90311,                0.90606,                0.85339,                0.88179,                0.75046,                0.60743,                0.48743,                0.87404,              0.0010891,              0.0010891,              0.0010891
                     15,                0.60956,                0.47151,                0.89629,                0.96516,                0.86926,                0.92467,                 0.7839,                0.59249,                0.43159,                0.86757,              0.0010768,              0.0010768,              0.0010768
                     16,                0.61754,                0.46883,                0.89859,                 0.9534,                0.88772,                0.93328,                0.78244,                0.62005,                0.41585,                0.87709,              0.0010644,              0.0010644,              0.0010644
                     17,                0.60229,                0.44702,                0.88975,                0.90517,                0.89706,                 0.8919,                0.75594,                0.61101,                0.43603,                 0.8835,               0.001052,               0.001052,               0.001052
                     18,                    0.6,                0.44712,                0.89289,                0.90309,                0.90335,                0.90395,                0.76288,                0.61267,                0.41851,                0.87165,              0.0010396,              0.0010396,              0.0010396
